Телефон_new,ЧислоЗаказов,ОбщаяСуммаПокупок,ОбщееКоличествоТоваров,СреднийЧек,СрКолТоваров_вЧеке,G2_ДЕТСКОЕ ПИТАНИЕ,G2_ИГРУШКИ,"G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ",G2_КОСМЕТИКА/ГИГИЕНА,G2_КРУПНОГАБАРИТНЫЙ ТОВАР,G2_ОБУВЬ,G2_ПОДГУЗНИКИ,G2_СОПУТСТВУЮЩИЕ ТОВАРЫ,"G2_ТЕКСТИЛЬ, ТРИКОТАЖ",G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,K9_Кластер,K10_Кластер,K11_Кластер,G8_Кластер,G9_Кластер,G10_Кластер,G11_Кластер
32555749-545749525150 .,1,1039.0,5,1039.0,5.0,0,0,5,0,0,0,0,0,0,0,8,9,1,1,1,4,1
55494851-56495152535476,1,1630.0,1,1630.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-48494948544878,2,4801.0,12,2400.5,6.0,0,5,0,0,0,0,1,0,5,0,0,3,0,5,5,0,10
55574848-48495057545270,1,2870.0,3,2870.0,3.0,0,0,0,0,0,0,0,0,3,0,0,1,2,6,6,1,6
55574848-48504851505372,1,699.0,1,699.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-48504852495679,1,1679.0,1,1679.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-48504951495271,1,18080.0,1,18080.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-48504956565678,1,12350.0,1,12350.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-48505057495379,1,1090.0,2,1090.0,2.0,0,0,0,0,0,0,0,0,0,2,2,8,1,6,6,8,6
55574848-48505250524971,1,11999.0,1,11999.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-48505454575373,1,20600.0,1,20600.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-48505556535375,1,2900.0,1,2900.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-48505748485276,1,3999.0,1,3999.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-48525254565275,1,5339.0,1,5339.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-48535356525173,1,3630.0,1,3630.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-48545256485273,2,2810.0,2,1405.0,1.0,0,0,0,0,0,2,0,0,0,0,2,8,1,2,2,9,2
55574848-48555554545670,1,857.0,1,857.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-48575752515373,1,170.0,1,170.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-49504849525374,1,24225.0,1,24225.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-49505155564971,1,1420.0,2,1420.0,2.0,0,0,1,0,0,0,1,0,0,0,5,8,1,1,4,4,9
55574848-49505350524976,1,12989.0,2,12989.0,2.0,0,0,0,0,2,0,0,0,0,0,7,2,7,3,3,6,3
55574848-49505353525370,1,1891.0,4,1891.0,4.0,0,1,0,0,0,0,0,0,0,3,1,0,1,3,3,9,3
55574848-49514852535379,1,315.0,1,315.0,1.0,0,0,1,0,0,0,0,0,0,0,2,8,1,1,1,4,1
55574848-49514854484974,1,3765.0,1,3765.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-49515348485274,1,2898.0,2,2898.0,2.0,0,0,0,0,0,0,0,0,2,0,2,1,2,6,6,1,6
55574848-49575652514879,1,1584.0,7,1584.0,7.0,0,4,2,0,0,0,0,1,0,0,3,3,0,2,8,2,8
55574848-49575655535076,1,1998.0,2,1998.0,2.0,0,0,0,0,0,0,0,0,2,0,2,1,2,6,6,1,6
55574848-49575656525175,1,629.0,1,629.0,1.0,0,0,1,0,0,0,0,0,0,0,2,8,1,1,1,4,1
55574848-50484957565070,1,1818.0,2,1818.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-50485050504872,1,6974.0,1,6974.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,4,7,7,6,7
55574848-50485055545476,1,1214.0,2,1214.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-50485252575775,1,1890.0,1,1890.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-50485750505173,1,6096.0,1,6096.0,1.0,0,0,0,0,0,0,0,0,0,1,2,8,4,6,6,8,6
55574848-50494856524878,1,2560.0,1,2560.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-50504854545478,1,209.0,3,209.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574848-50504953575376,1,3329.0,1,3329.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-50505048485776,1,2800.0,1,2800.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-50505052525179,1,954.0,3,954.0,3.0,0,0,0,2,0,0,1,0,0,0,4,5,5,5,5,8,5
55574848-50505150484979,1,166.0,1,166.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-50505254525173,1,1054.0,2,1054.0,2.0,0,1,0,0,0,1,0,0,0,0,1,0,8,2,2,9,2
55574848-50505455555074,1,2549.0,2,2549.0,2.0,0,0,0,0,0,0,1,0,0,1,5,8,1,3,3,8,3
55574848-50515248534878,1,2198.0,2,2198.0,2.0,0,0,0,0,0,0,2,0,0,0,5,6,3,1,3,8,5
55574848-50515256564970,2,3560.0,4,1780.0,2.0,0,0,0,0,0,0,2,0,0,0,5,6,3,5,5,0,10
55574848-50525250574876,2,2376.0,9,1188.0,4.5,0,1,0,0,0,0,0,0,8,0,0,4,10,5,2,0,2
55574848-50525753495070,1,2837.0,2,2837.0,2.0,0,0,0,0,1,0,0,0,1,0,2,8,4,3,3,9,3
55574848-50534857575574,1,13299.0,1,13299.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-50535549485277,1,790.0,1,790.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-50544850525177,1,2657.0,6,2657.0,6.0,0,6,0,0,0,0,0,0,0,0,3,3,6,1,1,6,1
55574848-50544955564978,1,864.0,5,864.0,5.0,0,5,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574848-50554851564975,1,2051.0,5,2051.0,5.0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,3,4,3
55574848-50555049495275,1,1690.0,1,1690.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-50565548535372,1,669.0,1,669.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-50565549524973,2,12157.0,4,6078.5,2.0,0,0,0,1,1,0,1,0,0,0,7,2,4,5,5,0,10
55574848-50565555495478,1,3790.0,1,3790.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-50575250514871,1,2610.0,2,2610.0,2.0,0,0,0,0,0,2,0,0,0,0,2,8,1,6,6,1,6
55574848-50575453515370,1,759.0,1,759.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574848-50575656564871,3,5548.0,7,1849.33,2.33,0,0,0,0,0,0,2,0,3,2,0,1,2,5,5,9,10
55574848-51484848514973,1,1460.0,2,1460.0,2.0,0,0,0,0,0,0,1,0,0,1,5,8,1,3,3,8,3
55574848-51484850545476,1,1039.0,1,1039.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51484855514970,1,2944.0,4,2944.0,4.0,0,2,0,0,1,0,1,0,0,0,1,0,8,3,3,9,3
55574848-51485052525774,2,5959.0,4,2979.5,2.0,0,0,0,0,1,0,2,0,0,1,5,6,3,5,5,0,10
55574848-51485148495175,1,4084.0,1,4084.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51485155515773,1,922.0,2,922.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51485248535279,2,3498.0,2,1749.0,1.0,0,0,1,0,1,0,0,0,0,0,2,8,4,4,4,3,4
55574848-51485248554977,1,1687.0,1,1687.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-51485254565778,1,1198.0,2,1198.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-51485354515570,1,2398.0,2,2398.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-51485554575572,2,2701.0,6,1350.5,3.0,0,2,0,2,0,1,1,0,0,0,4,5,5,0,4,2,4
55574848-51494855555178,1,2599.0,1,2599.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-51504849555370,1,23940.0,1,23940.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-51504948565572,1,3959.0,1,3959.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-51505256525673,1,2406.0,1,2406.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51505348535277,1,110.0,3,110.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574848-51505456485175,3,4648.0,3,1549.33,1.0,0,0,0,0,0,0,3,0,0,0,5,6,3,5,2,9,2
55574848-51535048495672,2,2698.0,2,1349.0,1.0,0,0,0,0,0,0,0,0,2,0,2,1,2,5,2,0,2
55574848-51535351484870,1,2100.0,1,2100.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-51535356545676,1,1690.0,1,1690.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-51535651494971,1,4450.0,5,4450.0,5.0,0,0,0,0,0,0,1,0,0,0,5,8,1,3,3,8,5
